SHANGHAI SHENZHEN CSI 300 - MARKET VALUE,SHANGHAI SHENZHEN CSI 300 - PRICE HIGH,SHANGHAI SHENZHEN CSI 300 - PRICE LOW,SHANGHAI SHENZHEN CSI 300 - OPENING PRICE,SHANGHAI SHENZHEN CSI 300 - PRICE INDEX,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VALUE,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VOLUME
CHSS300(MV),CHSS300(PH),CHSS300(PL),CHSS300(PO),CHSS300(PI),CHSS300(VA),CHSS300(VO)
2775635,1408.79,1384.99,1402.59,1393.96,22942430,38396740
2903751,1420.33,1393.92,1398.74,1420.33,24423120,38297380
2871270,1426.1,1401.15,1423.08,1411.01,28116060,42749790
2827655,1409.9,1377.22,1409.9,1393.01,21154110,33446000
2875400,1418.76,1390.19,1391.64,1418.67,21637500,32480720
2852095,1426.4,1405.99,1423.72,1410.43,22529570,33556180
2852559,1413.58,1397.44,1410.5,1412.12,18616780,27607360
2862656,1418.82,1406.5,1414.14,1418.57,18958940,28537380
2859971,1430.94,1416.74,1419.07,1419.2,24831170,36293410
2721256,1418.13,1344.15,1415.88,1346.09,31700080,48970670
2735011,1367.74,1327.59,1333.74,1357.13,21065090,32659100
2765878,1372.25,1348.43,1354.14,1372.25,16046820,24205550
2767539,1373.59,1359.91,1370.9,1373.42,14797120,22724540
3318489,1370.29,1330.28,1370.29,1336.64,15923620,25227630
3336837,1346.85,1329.18,1335.41,1345.19,11505540,18450610
3358351,1357.34,1344.57,1344.6,1356.03,12442430,20393650
3358644,1359.56,1327.9,1340.28,1358.12,12517730,19966180
3394366,1378.84,1359.32,1359.32,1374.17,14089740,22023500
3387176,1380.8,1367.05,1377.78,1371.29,12059950,19633440
3360720,1379.25,1347.28,1370.75,1355.54,14751700,23818750
3330009,1359.74,1327.66,1354.92,1341.39,13809390,21557500
3229607,1338.04,1293.53,1338.04,1294.33,13115400,22181200
3195914,1302.89,1278.54,1292.71,1282.06,10137960,17443870
3193513,1288.61,1258.01,1281.89,1275.09,10180840,17813280
3190728,1281.79,1261.69,1277.63,1271.74,8115991,12940470
3134466,1278.25,1239.38,1272.36,1241.91,9762333,16053630
3090628,1241.85,1221.99,1233.49,1224.1,8515702,15116520
3156887,1252.39,1225.04,1225.04,1252.39,8387431,14250480
3151617,1258.21,1245.39,1254.37,1251.3,7485120,12859470
3205144,1271.47,1251.08,1251.16,1271.47,10020040,17698990
3202953,1277.97,1265.52,1273.27,1275.65,9033367,15303230
3136363,1279.31,1241.95,1275.14,1245.72,9870530,16444470
3256889,1265.86,1239.9,1243.16,1265.86,8592504,14319360
3298210,1283.57,1262.54,1266.82,1283.57,12267020,20802740
3270105,1280.28,1263.93,1280.28,1271.63,8843865,15457900
3259040,1280.83,1265.82,1270.22,1267.87,7951341,13964520
3262498,1270.67,1229.16,1235.43,1270.56,8661631,15064770
3287623,1289.02,1269.1,1270.1,1285.27,11224120,17200930
